Canción,Artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Morning Crawls Towards You, And I - Live",Good Luck Finding Iris,0.526,0.225,9,-17.221,1,0.0351,0.928,1.11e-05,0.147,0.293,126.677,audio_features,7tvURb3EutC5eHJQ1QoNTq,spotify:track:7tvURb3EutC5eHJQ1QoNTq,https://api.spotify.com/v1/tracks/7tvURb3EutC5eHJQ1QoNTq,https://api.spotify.com/v1/audio-analysis/7tvURb3EutC5eHJQ1QoNTq,184272,3
Ayahuasca,Vancouver Sleep Clinic,0.463,0.228,4,-15.717,0,0.0338,0.734,0.11,0.0691,0.0528,148.003,audio_features,6oVm5ocTB8B0rjO5dZk8Px,spotify:track:6oVm5ocTB8B0rjO5dZk8Px,https://api.spotify.com/v1/tracks/6oVm5ocTB8B0rjO5dZk8Px,https://api.spotify.com/v1/audio-analysis/6oVm5ocTB8B0rjO5dZk8Px,508602,4
Wait,M83,0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911,audio_features,3rTnGUeDrnZV22DvRuUuXr,spotify:track:3rTnGUeDrnZV22DvRuUuXr,https://api.spotify.com/v1/tracks/3rTnGUeDrnZV22DvRuUuXr,https://api.spotify.com/v1/audio-analysis/3rTnGUeDrnZV22DvRuUuXr,343253,4
Bombs,Sami Simon,0.663,0.188,6,-14.433,1,0.0321,0.904,0.0221,0.0888,0.144,122.041,audio_features,085evEw0dS7ODLc3ZCX0vq,spotify:track:085evEw0dS7ODLc3ZCX0vq,https://api.spotify.com/v1/tracks/085evEw0dS7ODLc3ZCX0vq,https://api.spotify.com/v1/audio-analysis/085evEw0dS7ODLc3ZCX0vq,266113,4
Too Much,Tora,0.728,0.48,8,-9.599,1,0.0349,0.589,0.49,0.102,0.0943,127.999,audio_features,2nwxVkDbM9Y7plRSKKfIcT,spotify:track:2nwxVkDbM9Y7plRSKKfIcT,https://api.spotify.com/v1/tracks/2nwxVkDbM9Y7plRSKKfIcT,https://api.spotify.com/v1/audio-analysis/2nwxVkDbM9Y7plRSKKfIcT,154403,4
My Heart Is So Heavy - Album Edit,Cry Boy Cry,0.765,0.488,11,-8.838,0,0.0518,0.434,0.0,0.113,0.457,121.996,audio_features,4aPl9DHXAqiYJUdjmBk4wf,spotify:track:4aPl9DHXAqiYJUdjmBk4wf,https://api.spotify.com/v1/tracks/4aPl9DHXAqiYJUdjmBk4wf,https://api.spotify.com/v1/audio-analysis/4aPl9DHXAqiYJUdjmBk4wf,180566,4
I’ll Still Have Me,Cyn,0.604,0.277,2,-8.249,1,0.0286,0.915,1.82e-05,0.113,0.22,82.922,audio_features,71HEg3bYLyMAxHuJ3a6KIM,spotify:track:71HEg3bYLyMAxHuJ3a6KIM,https://api.spotify.com/v1/tracks/71HEg3bYLyMAxHuJ3a6KIM,https://api.spotify.com/v1/audio-analysis/71HEg3bYLyMAxHuJ3a6KIM,219268,4
Switzerland,Soccer Mommy,0.434,0.125,7,-13.832,1,0.0335,0.926,0.000381,0.112,0.273,75.185,audio_features,2o3jyT6JzyrpRncOVIxLLl,spotify:track:2o3jyT6JzyrpRncOVIxLLl,https://api.spotify.com/v1/tracks/2o3jyT6JzyrpRncOVIxLLl,https://api.spotify.com/v1/audio-analysis/2o3jyT6JzyrpRncOVIxLLl,261920,1
Plants,Elito Can Talk,0.794,0.17,2,-21.454,1,0.0396,0.92,0.00925,0.115,0.644,104.949,audio_features,03ECtgB8cdmgHB3s6aeLGj,spotify:track:03ECtgB8cdmgHB3s6aeLGj,https://api.spotify.com/v1/tracks/03ECtgB8cdmgHB3s6aeLGj,https://api.spotify.com/v1/audio-analysis/03ECtgB8cdmgHB3s6aeLGj,208039,4
Hard Feelings/Loveless,Lorde,0.487,0.445,1,-10.959,0,0.113,0.0328,0.0104,0.0778,0.18,97.031,audio_features,1Dp7JGFNjvg8Nk0CtMCcnr,spotify:track:1Dp7JGFNjvg8Nk0CtMCcnr,https://api.spotify.com/v1/tracks/1Dp7JGFNjvg8Nk0CtMCcnr,https://api.spotify.com/v1/audio-analysis/1Dp7JGFNjvg8Nk0CtMCcnr,367391,4
Falling,Mansionair,0.526,0.579,11,-8.703,1,0.0406,0.614,2.31e-05,0.18,0.133,123.6,audio_features,3dwjSIuxyU6jLbfRRt5fX4,spotify:track:3dwjSIuxyU6jLbfRRt5fX4,https://api.spotify.com/v1/tracks/3dwjSIuxyU6jLbfRRt5fX4,https://api.spotify.com/v1/audio-analysis/3dwjSIuxyU6jLbfRRt5fX4,203312,4
Cocoa Hooves,Glass Animals,0.636,0.22,10,-13.059,1,0.0468,0.884,0.00754,0.0925,0.0401,133.93,audio_features,4tGQUAnrOXuM3epCM8OBYC,spotify:track:4tGQUAnrOXuM3epCM8OBYC,https://api.spotify.com/v1/tracks/4tGQUAnrOXuM3epCM8OBYC,https://api.spotify.com/v1/audio-analysis/4tGQUAnrOXuM3epCM8OBYC,252907,4
Holocene,Bon Iver,0.375,0.322,1,-14.38,1,0.03,0.941,0.537,0.119,0.155,147.961,audio_features,1XQnZTR0ER8y5fGO17uX1R,spotify:track:1XQnZTR0ER8y5fGO17uX1R,https://api.spotify.com/v1/tracks/1XQnZTR0ER8y5fGO17uX1R,https://api.spotify.com/v1/audio-analysis/1XQnZTR0ER8y5fGO17uX1R,336613,4
Tell Her,Michl,0.345,0.244,9,-13.037,1,0.043,0.955,0.00861,0.0846,0.117,125.163,audio_features,0guNjayAfHBgG1BPhkhT3d,spotify:track:0guNjayAfHBgG1BPhkhT3d,https://api.spotify.com/v1/tracks/0guNjayAfHBgG1BPhkhT3d,https://api.spotify.com/v1/audio-analysis/0guNjayAfHBgG1BPhkhT3d,143329,4
Fallen,Gert Taberner,0.622,0.216,3,-10.892,1,0.0285,0.88,0.0048,0.109,0.187,134.191,audio_features,6ZzQ76i9WDdVmwVeDQIcJz,spotify:track:6ZzQ76i9WDdVmwVeDQIcJz,https://api.spotify.com/v1/tracks/6ZzQ76i9WDdVmwVeDQIcJz,https://api.spotify.com/v1/audio-analysis/6ZzQ76i9WDdVmwVeDQIcJz,321493,4
Bloom (Online Bonus Track),The Paper Kites,0.581,0.421,1,-9.792,1,0.0245,0.894,0.000491,0.119,0.433,95.969,audio_features,44alNkXsYnTyPnkMdohBcx,spotify:track:44alNkXsYnTyPnkMdohBcx,https://api.spotify.com/v1/tracks/44alNkXsYnTyPnkMdohBcx,https://api.spotify.com/v1/audio-analysis/44alNkXsYnTyPnkMdohBcx,209817,4
Trem-Bala,Ana Vilela,0.45,0.318,11,-9.474,1,0.0324,0.85,0.0,0.101,0.492,93.344,audio_features,05QeyKGAn4TZrv41tMiD1A,spotify:track:05QeyKGAn4TZrv41tMiD1A,https://api.spotify.com/v1/tracks/05QeyKGAn4TZrv41tMiD1A,https://api.spotify.com/v1/audio-analysis/05QeyKGAn4TZrv41tMiD1A,180319,4
